logged_at_cst,category,ticker,book,direction,signal,confluence,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,acc_tp_before_sl_pct,acc_strict_pct,bar_time_cst,repeats,hot,engines,eng_hot,tfs,econ,outcome,outcome_at
2026-07-27 23:00:27,crypto,BTC,B,LONG,poc_reject_up+delta_surge+strong_close,8,65384.2,65384.2,65547.66,65220.74,09:40,09:40,88.9,88.9,2026-07-27 08:35,2,,,,,,target,08:40
2026-07-27 13:56:09,etf,QQQ,B,LONG,adi_up+s1_bounce+strong_close,1,681.05,681.05,682.76,679.35,14:35,14:35,87.5,87.5,2026-07-27 13:50,1,,1h+2h+4h,3,5m,,target,14:05
2026-07-27 13:15:20,etf,GLD,B,SHORT,vwap_loss+weak_close+cvd_dn_v,10,373.96,373.96,373.03,374.89,13:45,13:45,87.5,50.0,2026-07-27 13:10,1,,30m,,5m,,timeout,13:45
2026-07-27 12:30:12,etf,GLD,B,SHORT,vwap_loss+below_vwap,1,373.81,373.81,372.88,374.74,13:30,13:30,88.9,36.4,2026-07-27 12:00,1,,30m+1h,2,30m,,timeout,13:30
2026-07-27 12:07:34,etf,GLD,B,SHORT,vwap_loss+weak_close+rsi_thrust_dn,1,373.92,373.92,372.99,374.85,13:05,13:05,100.0,42.9,2026-07-27 12:00,1,,30m+1h+2h+4h,4,5m,,timeout,13:05
2026-07-27 10:36:20,etf,GLD,B,SHORT,below_vwap+r1_reject+weak_close,1,373.7,373.7,372.77,374.63,11:05,11:05,100.0,37.5,2026-07-27 10:30,1,,30m,,5m,,timeout,11:05
2026-07-27 10:00:56,etf,SPX,B,LONG,poc_reject_up+strong_close+vwap_lo_bounce,1,7420.44,7420.44,7438.99,7401.89,11:00,11:00,85.7,66.7,2026-07-27 09:30,1,,30m+1h,2,30m,,stop,10:30
2026-07-27 09:25:55,etf,GLD,B,SHORT,r1_reject+yhigh_reject+weak_close,2,373.73,373.73,372.8,374.66,09:30,09:30,100.0,42.9,2026-07-27 08:55,1,,30m+1h,2,5m,,timeout,09:30
2026-07-24 13:01:19,etf,GLD,B,SHORT,vwap_loss+below_vwap,1,372.8,372.8,371.87,373.73,14:00,14:00,85.7,30.0,2026-07-24 12:30,1,,30m+1h,2,30m,,target,13:30
2026-07-24 12:28:54,stock,MU,B,LONG,vwap_reclaim+rvol_thrust_up,3,945.91,945.91,949.69,942.12,14:35,14:35,87.5,87.5,2026-07-24 10:45,1,,30m+1h+2h+4h,4,15m,,target,11:05
2026-07-28 12:00:29,india,BANKNIFTY,B,SHORT,delta_dump+below_pivot+orb_break_dn,2,589.15,589.15,587.68,590.62,15:30,15:30,100.0,75.0,2026-07-28 11:45,1,,30m+1h+2h+4h,4,5m+15m,,timeout,15:30
2026-07-28 05:40:33,crypto,BTC,B,LONG,vwap_reclaim+adi_up+macd_x_up_neg,22,63410.44,63410.44,63568.97,63251.92,06:40,06:40,88.9,88.9,2026-07-28 05:35,1,,,,,,timeout,06:40
2026-07-28 07:54:58,crypto,BTC,B,LONG,vwap_reclaim+adi_up+macd_x_up+strong_close,1,63480.38,63480.38,63639.08,63321.68,08:50,08:50,87.5,87.5,2026-07-28 07:45,1,,,,,,stop,08:20
2026-07-28 08:50:13,stock,TSLA,B,LONG,above_vwap+ylow_reclaim+strong_close,2,305.86,305.86,307.08,304.64,12:50,12:50,90.9,90.9,2026-07-28 08:45,1,,30m+1h+2h+4h,4,5m,,stop,08:50
