logged_at_cst,book,engine,tf,signal,direction,confluence,window,noise_k,vol_mult,acc_strict_pct,acc_tp_before_sl_pct,bt_trades,bar_time_cst,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,vwap,y_poc,pivot,atr,volume,vol_vs_med20
2026-07-16 11:05:29,A,1h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,2,full_0845_1400,0.0,0.8,60.0,100.0,15,2026-07-16 11:00,366.8,366.8,365.7,367.91,12:05,12:05,366.84,372.5,372.09,0.643,141407,1.55
2026-07-16 11:05:29,B,1h,5m,vwap_loss+weak_close+cvd_dn_v,SHORT,10,full_0845_1400,0.0,0.8,60.0,90.0,15,2026-07-16 11:00,366.8,366.8,365.7,367.91,12:05,12:05,366.84,372.5,372.09,0.643,141407,1.55
2026-07-16 11:05:29,A,2h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,2,full_0845_1400,0.0,0.8,73.3,100.0,15,2026-07-16 11:00,366.8,366.8,365.7,367.91,13:05,13:05,366.84,372.5,372.09,0.643,141407,1.55
2026-07-16 11:05:29,B,2h,5m,vwap_loss+weak_close+cvd_dn_v,SHORT,10,full_0845_1400,0.0,0.8,73.3,91.7,15,2026-07-16 11:00,366.8,366.8,365.7,367.91,13:05,13:05,366.84,372.5,372.09,0.643,141407,1.55
2026-07-16 11:05:29,A,3h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,2,full_0845_1400,0.0,0.8,73.3,100.0,15,2026-07-16 11:00,366.8,366.8,365.7,367.91,14:05,14:05,366.84,372.5,372.09,0.643,141407,1.55
2026-07-16 11:05:29,B,3h,5m,vwap_loss+weak_close+cvd_dn_v,SHORT,10,full_0845_1400,0.0,0.8,73.3,91.7,15,2026-07-16 11:00,366.8,366.8,365.7,367.91,14:05,14:05,366.84,372.5,372.09,0.643,141407,1.55
2026-07-16 11:05:29,A,4h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,2,full_0845_1400,0.0,0.8,73.3,100.0,15,2026-07-16 11:00,366.8,366.8,365.7,367.91,14:35,14:35,366.84,372.5,372.09,0.643,141407,1.55
2026-07-16 11:05:29,B,4h,5m,vwap_loss+weak_close+cvd_dn_v,SHORT,10,full_0845_1400,0.0,0.8,73.3,91.7,15,2026-07-16 11:00,366.8,366.8,365.7,367.91,14:35,14:35,366.84,372.5,372.09,0.643,141407,1.55
2026-07-16 17:22:57,B,1h,15m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,50.0,85.7,12,2026-07-16 11:00,365.94,365.94,364.84,367.04,12:15,12:15,366.74,372.5,372.09,1.496,377693,2.4
2026-07-20 11:44:05,A,1h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,62.5,100.0,8,2026-07-20 11:40,367.81,367.81,366.71,368.91,12:45,12:45,367.95,368.25,367.08,0.397,134361,5.81
2026-07-20 11:44:05,A,2h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,75.0,100.0,8,2026-07-20 11:40,367.81,367.81,366.71,368.91,13:45,13:45,367.95,368.25,367.08,0.397,134361,5.81
2026-07-20 11:44:05,A,3h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,75.0,100.0,8,2026-07-20 11:40,367.81,367.81,366.71,368.91,14:35,14:35,367.95,368.25,367.08,0.397,134361,5.81
2026-07-20 11:44:05,A,4h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,71.4,100.0,7,2026-07-20 11:40,367.81,367.81,366.71,368.91,14:35,14:35,367.95,368.25,367.08,0.397,134361,5.81
2026-07-20 11:45:24,B,1h,15m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,50.0,85.7,12,2026-07-20 11:30,367.92,367.92,366.82,369.02,12:45,12:45,367.92,368.5,367.08,0.775,179302,1.85
2026-07-20 12:15:25,A,1h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,62.5,100.0,8,2026-07-20 12:10,367.91,367.91,366.81,369.01,13:15,13:15,367.95,368.25,367.08,0.335,49981,2.15
2026-07-20 12:15:25,A,2h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,75.0,100.0,8,2026-07-20 12:10,367.91,367.91,366.81,369.01,14:15,14:15,367.95,368.25,367.08,0.335,49981,2.15
2026-07-20 12:15:25,A,3h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,75.0,100.0,8,2026-07-20 12:10,367.91,367.91,366.81,369.01,14:35,14:35,367.95,368.25,367.08,0.335,49981,2.15
2026-07-20 12:15:25,A,4h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,71.4,100.0,7,2026-07-20 12:10,367.91,367.91,366.81,369.01,14:35,14:35,367.95,368.25,367.08,0.335,49981,2.15
2026-07-20 13:00:28,A,30m,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,26.3,100.0,19,2026-07-20 12:30,367.46,367.46,366.54,368.38,13:30,13:30,367.87,368.0,367.08,1.242,148174,
2026-07-20 13:00:28,B,1h,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,36.8,87.5,19,2026-07-20 12:30,367.46,367.46,366.54,368.38,14:00,14:00,367.87,368.0,367.08,1.242,148174,
2026-07-20 13:04:38,A,30m,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,40.0,100.0,10,2026-07-20 11:40,367.88,367.88,366.96,368.8,12:15,12:15,367.95,368.25,367.08,0.398,141587,6.08
2026-07-20 13:04:38,A,30m,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,40.0,100.0,10,2026-07-20 12:10,367.91,367.91,366.99,368.83,12:45,12:45,367.95,368.25,367.08,0.335,49981,2.15
2026-07-20 13:25:54,A,30m,5m,hist_turn_dn+rvol_thrust_dn+cvd_dn+rsi_thrust_dn,SHORT,2,full_0845_1400,0.0,0.8,44.4,100.0,9,2026-07-20 13:20,367.46,367.46,366.54,368.38,13:55,13:55,367.92,368.25,367.08,0.295,62981,1.94
2026-07-20 13:25:54,A,1h,5m,hist_turn_dn+rvol_thrust_dn+cvd_dn+rsi_thrust_dn,SHORT,2,full_0845_1400,0.0,0.8,66.7,100.0,9,2026-07-20 13:20,367.46,367.46,366.54,368.38,14:25,14:25,367.92,368.25,367.08,0.295,62981,1.94
2026-07-20 13:25:54,A,2h,5m,hist_turn_dn+rvol_thrust_dn+cvd_dn+rsi_thrust_dn,SHORT,2,full_0845_1400,0.0,0.8,88.9,100.0,9,2026-07-20 13:20,367.46,367.46,366.54,368.38,14:35,14:35,367.92,368.25,367.08,0.295,62981,1.94
2026-07-20 13:25:54,A,4h,5m,hist_turn_dn+rvol_thrust_dn+cvd_dn+rsi_thrust_dn,SHORT,2,full_0845_1400,0.0,0.8,88.9,100.0,9,2026-07-20 13:20,367.46,367.46,366.54,368.38,14:35,14:35,367.92,368.25,367.08,0.295,62981,1.94
2026-07-24 12:28:36,B,30m,5m,r1_reject+yhigh_reject+weak_close,SHORT,1,am_0845_1130,0.0,0.8,50.0,100.0,6,2026-07-24 09:00,372.73,372.73,371.8,373.66,09:35,09:35,371.87,371.5,371.72,0.517,110800,
2026-07-24 12:28:36,A,1h,5m,r1_reject+yhigh_reject+weak_close,SHORT,1,am_0845_1130,0.0,0.8,66.7,100.0,6,2026-07-24 09:00,372.73,372.73,371.8,373.66,10:05,10:05,371.87,371.5,371.72,0.517,110800,
2026-07-24 13:01:19,A,30m,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,20.0,100.0,20,2026-07-24 12:30,372.8,372.8,371.87,373.73,13:30,13:30,373.1,371.25,371.72,1.724,102702,
2026-07-24 13:01:19,B,1h,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,30.0,85.7,20,2026-07-24 12:30,372.8,372.8,371.87,373.73,14:00,14:00,373.1,371.25,371.72,1.724,102702,
2026-07-27 09:25:55,B,30m,5m,r1_reject+yhigh_reject+weak_close,SHORT,2,am_0845_1130,0.0,0.8,42.9,100.0,7,2026-07-27 08:55,373.73,373.73,372.8,374.66,09:30,09:30,374.37,372.0,372.47,0.615,102984,
2026-07-27 09:25:55,A,1h,5m,r1_reject+yhigh_reject+weak_close,SHORT,1,am_0845_1130,0.0,0.8,57.1,100.0,7,2026-07-27 08:55,373.73,373.73,372.8,374.66,10:00,10:00,374.37,372.0,372.47,0.615,102984,
2026-07-27 10:36:20,B,30m,5m,below_vwap+r1_reject+weak_close,SHORT,1,am_0845_1130,0.0,1.2,37.5,100.0,8,2026-07-27 10:30,373.7,373.7,372.77,374.63,11:05,11:05,373.99,372.0,372.47,0.439,56340,1.47
2026-07-27 12:07:34,B,30m,5m,vwap_loss+weak_close+rsi_thrust_dn,SHORT,12,full_0845_1400,0.0,0.8,42.9,100.0,7,2026-07-27 12:00,373.92,373.92,372.99,374.85,12:35,12:35,374.11,372.0,372.47,0.388,27528,1.47
2026-07-27 12:07:34,A,1h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,44.4,100.0,9,2026-07-27 12:00,373.92,373.92,372.99,374.85,13:05,13:05,374.11,372.0,372.47,0.388,27528,1.47
2026-07-27 12:07:34,B,1h,5m,vwap_loss+weak_close+rsi_thrust_dn,SHORT,1,full_0845_1400,0.0,0.8,42.9,100.0,7,2026-07-27 12:00,373.92,373.92,372.99,374.85,13:05,13:05,374.11,372.0,372.47,0.388,27528,1.47
2026-07-27 12:07:34,A,2h,5m,vwap_loss+below_vwap,SHORT,2,mid_1030_1300,0.0,1.2,66.7,100.0,9,2026-07-27 12:00,373.92,373.92,372.99,374.85,14:05,14:05,374.11,372.0,372.47,0.388,27528,1.47
2026-07-27 12:07:34,A,4h,5m,vwap_loss+below_vwap,SHORT,2,mid_1030_1300,0.0,1.2,66.7,100.0,9,2026-07-27 12:00,373.92,373.92,372.99,374.85,14:35,14:35,374.11,372.0,372.47,0.388,27528,1.47
2026-07-27 12:30:12,A,30m,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,22.7,100.0,22,2026-07-27 12:00,373.81,373.81,372.88,374.74,13:00,13:00,373.99,372.25,372.47,1.836,180819,
2026-07-27 12:30:12,B,1h,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,36.4,88.9,22,2026-07-27 12:00,373.81,373.81,372.88,374.74,13:30,13:30,373.99,372.25,372.47,1.836,180819,
2026-07-27 13:15:20,B,30m,5m,vwap_loss+weak_close+cvd_dn_v,SHORT,10,full_0845_1400,0.0,0.8,50.0,87.5,14,2026-07-27 13:10,373.96,373.96,373.03,374.89,13:45,13:45,374.07,372.0,372.47,0.284,62545,3.05
2026-07-28 13:00:45,A,30m,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,21.1,100.0,19,2026-07-28 12:30,369.47,369.47,368.55,370.39,13:30,13:30,369.7,374.0,374.33,1.775,114673,
2026-07-28 13:00:45,B,1h,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,31.6,85.7,19,2026-07-28 12:30,369.47,369.47,368.55,370.39,14:00,14:00,369.7,374.0,374.33,1.775,114673,
2026-07-29 09:30:21,A,30m,5m,below_pivot+weak_close+vwap_loss_v,SHORT,1,full_0845_1400,0.0,0.8,50.0,100.0,10,2026-07-29 09:25,367.39,367.39,366.47,368.3,10:00,10:00,367.72,369.5,369.53,0.498,111971,2.29
2026-07-29 09:30:21,A,1h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,1,full_0845_1400,0.0,0.8,60.0,100.0,10,2026-07-29 09:25,367.39,367.39,366.47,368.3,10:30,10:30,367.72,369.5,369.53,0.498,111971,2.29
2026-07-29 09:30:21,A,2h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,1,full_0845_1400,0.0,0.8,70.0,100.0,10,2026-07-29 09:25,367.39,367.39,366.47,368.3,11:30,11:30,367.72,369.5,369.53,0.498,111971,2.29
2026-07-29 09:30:21,A,4h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,1,full_0845_1400,0.0,0.8,70.0,100.0,10,2026-07-29 09:25,367.39,367.39,366.47,368.3,13:30,13:30,367.72,369.5,369.53,0.498,111971,2.29
2026-07-30 09:20:23,B,30m,5m,vwap_loss+weak_close+cvd_dn_v,SHORT,10,full_0845_1400,0.0,0.8,43.8,87.5,16,2026-07-30 09:15,375.18,375.18,374.25,376.12,09:50,09:50,375.79,371.5,371.72,0.908,176121,4.82
2026-07-30 09:30:00,B,30m,30m,r1_reject+yhigh_reject+weak_close,SHORT,1,am_0845_1130,0.0,0.8,50.0,100.0,4,2026-07-30 09:00,375.68,375.68,374.74,376.62,10:00,10:00,376.08,372.75,371.72,2.666,1387746,
2026-07-30 12:30:28,A,30m,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,19.0,100.0,21,2026-07-30 12:00,376.08,376.08,375.14,377.02,13:00,13:00,376.17,372.75,371.72,2.177,204035,
2026-07-30 12:30:28,B,1h,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,28.6,85.7,21,2026-07-30 12:00,376.08,376.08,375.14,377.02,13:30,13:30,376.17,372.75,371.72,2.177,204035,
2026-07-30 16:04:16,B,30m,5m,r1_reject+yhigh_reject+weak_close,SHORT,1,am_0845_1130,0.0,0.8,42.9,100.0,7,2026-07-30 09:00,376.7,376.7,375.76,377.65,09:35,09:35,375.7,371.5,371.72,0.903,389107,
2026-07-30 16:04:16,A,1h,5m,r1_reject+yhigh_reject+weak_close,SHORT,1,am_0845_1130,0.0,0.8,57.1,100.0,7,2026-07-30 09:00,376.7,376.7,375.76,377.65,10:05,10:05,375.7,371.5,371.72,0.903,389107,
2026-07-30 16:25:57,B,1h,5m,vwap_loss+weak_close+cvd_dn_v,SHORT,10,full_0845_1400,0.0,0.8,50.0,80.0,16,2026-07-30 09:15,375.15,375.15,374.21,376.09,10:20,10:20,375.8,371.5,371.72,0.911,176212,4.83
2026-07-30 16:25:57,B,2h,5m,r1_reject+yhigh_reject+weak_close,SHORT,1,am_0845_1130,0.0,0.8,71.4,83.3,7,2026-07-30 09:00,376.7,376.7,375.76,377.65,11:05,11:05,375.7,371.5,371.72,0.903,389107,
2026-08-03 12:55:44,A,30m,5m,below_pivot+weak_close+vwap_loss_v,SHORT,1,full_0845_1400,0.0,0.8,45.5,100.0,11,2026-08-03 12:50,369.72,369.72,368.8,370.64,13:25,13:25,369.96,371.5,370.79,0.234,32995,1.76
2026-08-03 12:55:44,B,30m,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,30.0,100.0,10,2026-08-03 12:50,369.72,369.72,368.8,370.64,13:25,13:25,369.96,371.5,370.79,0.234,32995,1.76
2026-08-03 12:55:44,A,1h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,2,full_0845_1400,0.0,0.8,54.5,100.0,11,2026-08-03 12:50,369.72,369.72,368.8,370.64,13:55,13:55,369.96,371.5,370.79,0.234,32995,1.76
2026-08-03 12:55:44,A,2h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,60.0,100.0,10,2026-08-03 12:50,369.72,369.72,368.8,370.64,14:35,14:35,369.96,371.5,370.79,0.234,32995,1.76
2026-08-03 12:55:44,B,2h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,1,full_0845_1400,0.0,0.8,63.6,87.5,11,2026-08-03 12:50,369.72,369.72,368.8,370.64,14:35,14:35,369.96,371.5,370.79,0.234,32995,1.76
2026-08-03 12:55:44,B,4h,5m,below_pivot+weak_close+vwap_loss_v,SHORT,2,full_0845_1400,0.0,0.8,63.6,87.5,11,2026-08-03 12:50,369.72,369.72,368.8,370.64,14:35,14:35,369.96,371.5,370.79,0.234,32995,1.76
2026-08-03 13:01:12,A,30m,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,18.2,100.0,22,2026-08-03 12:30,369.73,369.73,368.81,370.65,13:30,13:30,369.9,371.5,370.79,1.04,106062,
2026-08-03 13:01:12,B,1h,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,27.3,85.7,22,2026-08-03 12:30,369.73,369.73,368.81,370.65,14:00,14:00,369.9,371.5,370.79,1.04,106062,
2026-08-04 13:01:20,B,30m,5m,vwap_loss+weak_close+rsi_thrust_dn,SHORT,2,full_0845_1400,0.0,0.8,37.5,100.0,8,2026-08-04 12:55,374.89,374.89,373.95,375.83,13:30,13:30,375.05,370.25,370.79,0.374,42816,1.23
2026-08-04 13:01:20,B,1h,5m,vwap_loss+weak_close+rsi_thrust_dn,SHORT,1,full_0845_1400,0.0,0.8,37.5,100.0,8,2026-08-04 12:55,374.89,374.89,373.95,375.83,14:00,14:00,375.05,370.25,370.79,0.374,42816,1.23
2026-08-04 13:01:20,A,2h,5m,vwap_loss+weak_close+rsi_thrust_dn,SHORT,1,full_0845_1400,0.0,0.8,50.0,100.0,8,2026-08-04 12:55,374.89,374.89,373.95,375.83,14:35,14:35,375.05,370.25,370.79,0.374,42816,1.23
2026-08-04 13:01:20,B,2h,5m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,54.5,85.7,11,2026-08-04 12:55,374.89,374.89,373.95,375.83,14:35,14:35,375.05,370.25,370.79,0.374,42816,1.23
2026-08-04 13:01:20,A,30m,30m,vwap_loss+below_vwap,SHORT,1,mid_1030_1300,0.0,1.2,18.2,100.0,22,2026-08-04 12:30,374.89,374.89,373.95,375.83,13:30,13:30,374.98,370.25,370.79,1.719,175295,
