logged_at_cst,book,engine,tf,signal,direction,confluence,window,noise_k,vol_mult,acc_strict_pct,acc_tp_before_sl_pct,bt_trades,bar_time_cst,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,vwap,y_poc,pivot,atr,volume,vol_vs_med20
2026-07-15 09:30:35,A,4h,5m,above_pivot+vwap_reclaim_v,LONG,2,am_0900_1130,0.0,0.8,69.2,100.0,13,2026-07-15 09:25,754.62,754.62,756.88,752.36,13:30,13:30,754.53,752.0,751.28,0.774,714394,1.77
2026-07-15 10:20:20,A,4h,5m,above_pivot+hist_turn_up+vwap_lo_bounce,LONG,1,am_0900_1130,0.0,0.8,62.5,100.0,8,2026-07-15 10:15,753.28,753.28,755.54,751.02,14:20,14:20,754.22,752.0,751.28,0.896,491451,1.05
2026-07-15 11:05:49,A,4h,5m,poc_reject_up+above_pivot,LONG,1,mid_1030_1300,0.8,0.8,83.3,100.0,6,2026-07-15 11:00,752.08,752.08,754.34,749.82,15:05,15:05,754.0,752.0,751.28,0.801,442535,1.3
2026-07-15 11:25:47,B,4h,5m,below_pivot+weak_close+cvd_dn_v+mom_ignite_dn,SHORT,1,am_0900_1130,0.5,0.8,84.6,91.7,13,2026-07-15 11:20,750.54,750.54,748.29,752.79,15:25,15:25,753.74,752.0,751.28,0.776,474613,1.39
2026-07-15 12:05:34,A,4h,5m,above_pivot+mom_ignite_up,LONG,1,mid_1030_1300,0.0,0.8,42.1,100.0,19,2026-07-15 12:00,751.92,751.92,754.18,749.66,16:05,16:05,753.33,752.0,751.28,0.748,331052,1.0
2026-07-15 12:11:42,A,4h,5m,above_pivot+mom_ignite_up,LONG,1,mid_1030_1300,0.0,0.8,42.1,100.0,19,2026-07-15 12:05,752.1,752.1,754.36,749.84,16:10,16:10,753.29,752.0,751.28,0.735,671669,2.03
2026-07-15 12:21:57,A,4h,5m,poc_reject_up+above_pivot,LONG,1,mid_1030_1300,0.8,0.8,83.3,100.0,6,2026-07-15 12:15,752.4,752.4,754.66,750.14,16:20,16:20,753.26,752.0,751.28,0.722,301238,0.91
2026-07-15 12:35:49,A,4h,5m,above_pivot+mom_ignite_up,LONG,1,mid_1030_1300,0.0,0.8,42.1,100.0,19,2026-07-15 12:30,753.09,753.09,755.35,750.83,16:35,16:35,753.24,752.0,751.28,0.662,412683,1.25
2026-07-15 13:56:23,A,4h,5m,vwap_loss_v+mom_ignite_dn,SHORT,1,full_0900_1400,0.0,0.8,41.7,100.0,12,2026-07-15 13:50,753.36,753.36,751.1,755.62,17:55,17:55,753.44,752.0,751.28,0.52,495812,1.58
2026-07-16 08:51:12,A,1h,5m,macd_x_dn+weak_close+mom_ignite_dn,SHORT,1,am_0845_1130,0.0,0.8,66.7,100.0,6,2026-07-16 08:45,751.05,751.05,748.8,753.3,09:50,09:50,752.16,754.5,753.5,0.879,704363,
2026-07-16 08:51:12,A,2h,5m,macd_x_dn+weak_close+mom_ignite_dn,SHORT,1,am_0845_1130,0.0,0.8,66.7,100.0,6,2026-07-16 08:45,751.05,751.05,748.8,753.3,10:50,10:50,752.16,754.5,753.5,0.879,704363,
2026-07-16 08:51:12,A,3h,5m,macd_x_dn+weak_close+mom_ignite_dn,SHORT,1,am_0845_1130,0.0,0.8,66.7,100.0,6,2026-07-16 08:45,751.05,751.05,748.8,753.3,11:50,11:50,752.16,754.5,753.5,0.879,704363,
2026-07-16 08:51:12,A,4h,5m,macd_x_dn+weak_close+mom_ignite_dn,SHORT,1,am_0845_1130,0.0,0.8,100.0,100.0,6,2026-07-16 08:45,751.05,751.05,748.8,753.3,12:50,12:50,752.16,754.5,753.5,0.879,704363,
2026-07-17 08:50:00,A,1h,5m,vwap_reclaim+orb_break_up+cvd_up,LONG,1,full_0845_1400,0.0,0.8,50.0,100.0,8,2026-07-17 08:45,743.03,743.03,745.26,740.8,09:50,09:50,741.6,750.5,751.07,1.126,1050322,
2026-07-17 08:50:00,A,2h,5m,vwap_reclaim+orb_break_up+cvd_up,LONG,1,full_0845_1400,0.0,0.8,62.5,100.0,8,2026-07-17 08:45,743.03,743.03,745.26,740.8,10:50,10:50,741.6,750.5,751.07,1.126,1050322,
2026-07-17 08:50:00,A,3h,5m,vwap_reclaim+orb_break_up+cvd_up,LONG,1,full_0845_1400,0.0,0.8,75.0,100.0,8,2026-07-17 08:45,743.03,743.03,745.26,740.8,11:50,11:50,741.6,750.5,751.07,1.126,1050322,
2026-07-17 08:50:00,A,4h,5m,vwap_reclaim+orb_break_up+cvd_up,LONG,1,full_0845_1400,0.0,0.8,75.0,100.0,8,2026-07-17 08:45,743.03,743.03,745.26,740.8,12:50,12:50,741.6,750.5,751.07,1.126,1050322,
2026-07-17 09:05:23,A,2h,5m,delta_surge+strong_close+mom_ignite_up,LONG,1,am_0845_1130,0.5,0.8,75.0,100.0,8,2026-07-17 09:00,745.34,745.34,747.58,743.1,11:05,11:05,742.08,750.5,751.07,1.394,799664,
2026-07-17 09:05:23,A,3h,5m,delta_surge+strong_close+mom_ignite_up,LONG,1,am_0845_1130,0.5,0.8,75.0,100.0,8,2026-07-17 09:00,745.34,745.34,747.58,743.1,12:05,12:05,742.08,750.5,751.07,1.394,799664,
2026-07-17 09:05:23,A,4h,5m,delta_surge+strong_close+mom_ignite_up,LONG,1,am_0845_1130,0.5,0.8,75.0,100.0,8,2026-07-17 09:00,745.34,745.34,747.58,743.1,13:05,13:05,742.08,750.5,751.07,1.394,799664,
2026-07-17 10:05:28,A,4h,5m,macd_x_dn+weak_close+mom_ignite_dn,SHORT,1,am_0845_1130,0.0,0.8,100.0,100.0,6,2026-07-17 10:00,744.24,744.24,742.01,746.47,14:05,14:05,744.02,750.5,751.07,1.085,832834,1.16
2026-07-20 11:09:02,A,1h,5m,poc_reject_up+above_pivot,LONG,1,mid_1030_1300,0.0,0.8,40.0,100.0,10,2026-07-20 11:05,746.73,746.73,748.97,744.49,12:10,12:10,746.12,746.5,743.75,0.803,540895,1.69
2026-07-20 11:09:02,A,2h,5m,poc_reject_up+above_pivot,LONG,1,mid_1030_1300,0.0,0.8,70.0,100.0,10,2026-07-20 11:05,746.73,746.73,748.97,744.49,13:10,13:10,746.12,746.5,743.75,0.803,540895,1.69
2026-07-20 11:09:02,A,3h,5m,poc_reject_up+above_pivot,LONG,1,mid_1030_1300,0.0,0.8,80.0,100.0,10,2026-07-20 11:05,746.73,746.73,748.97,744.49,14:10,14:10,746.12,746.5,743.75,0.803,540895,1.69
2026-07-20 11:09:02,A,4h,5m,poc_reject_up+above_pivot,LONG,1,mid_1030_1300,0.0,0.8,80.0,100.0,10,2026-07-20 11:05,746.73,746.73,748.97,744.49,14:35,14:35,746.12,746.5,743.75,0.803,540895,1.69
2026-07-20 11:21:03,A,1h,5m,poc_reject_up+above_pivot,LONG,1,mid_1030_1300,0.0,0.8,40.0,100.0,10,2026-07-20 11:15,746.68,746.68,748.92,744.44,12:20,12:20,746.13,746.5,743.75,0.759,314922,1.03
2026-07-20 11:21:03,A,2h,5m,poc_reject_up+above_pivot,LONG,1,mid_1030_1300,0.0,0.8,70.0,100.0,10,2026-07-20 11:15,746.68,746.68,748.92,744.44,13:20,13:20,746.13,746.5,743.75,0.759,314922,1.03
2026-07-20 11:21:03,A,3h,5m,poc_reject_up+above_pivot,LONG,1,mid_1030_1300,0.0,0.8,80.0,100.0,10,2026-07-20 11:15,746.68,746.68,748.92,744.44,14:20,14:20,746.13,746.5,743.75,0.759,314922,1.03
